Class,R_sw_3_h_2,K_sw_3_h_2,RorK_sw_3_h_2,R_sw_5_h_2,RorK_sw_3_h_2,K_sw_5_h_2,RorK_sw_5_h_2,R_sw_2_h_2,K_sw_2_h_2,RorK_sw_2_h_2,D_sw_10_h_2,E_sw_5_h_2,DorE_sw_10_h_2,length,frac_R,frac_K,frac_D,frac_E
DNA,0.015810277,0,0.023715415,0.100790514,0.023715415,0,0.124505929,0.007905138,0,0.007905138,0,0.001976285,0.130434783,506,0.136363636,0.049407115,0.011857708,0.07312253
DNA,0.00750469,0.005628518,0.026266417,0.031894934,0.026266417,0.013133208,0.075046904,0.001876173,0.001876173,0.011257036,0.024390244,0.013133208,0.165103189,533,0.041275797,0.03564728,0.031894934,0.037523452
DNA,0.005665722,0.011331445,0.036827195,0.033994334,0.036827195,0.036827195,0.116147309,0.002832861,0.002832861,0.011331445,0.073654391,0.056657224,0.314447592,353,0.053824363,0.045325779,0.028328612,0.07082153
DNA,0.022277228,0.007425743,0.034653465,0.04950495,0.034653465,0.024752475,0.099009901,0.007425743,0.002475248,0.012376238,0,0.079207921,0.232673267,404,0.056930693,0.037128713,0.017326733,0.089108911
DNA,0.01446281,0.004132231,0.024793388,0.037190083,0.024793388,0.012396694,0.068181818,0.006198347,0.002066116,0.010330579,0.107438017,0.018595041,0.260330579,484,0.064049587,0.02892562,0.055785124,0.045454545
DNA,0.038004751,0.014251781,0.087885986,0.083135392,0.087885986,0.040380048,0.220902613,0.016627078,0.007125891,0.035629454,0.019002375,0.052256532,0.197149644,421,0.095011876,0.080760095,0.023752969,0.06175772
DNA,0.013533835,0.016541353,0.045112782,0.04962406,0.045112782,0.040601504,0.121804511,0.006015038,0.007518797,0.018045113,0.057142857,0.072180451,0.392481203,665,0.057142857,0.04962406,0.045112782,0.081203008
DNA,0.015345269,0.025575448,0.056265985,0.04859335,0.056265985,0.069053708,0.148337596,0.002557545,0.010230179,0.025575448,0.150895141,0.043478261,0.480818414,391,0.063938619,0.066496164,0.066496164,0.081841432
DNA,0.010729614,0.010729614,0.051502146,0.045064378,0.051502146,0.051502146,0.169527897,0.002145923,0.004291845,0.019313305,0.229613734,0.100858369,0.530042918,466,0.070815451,0.072961373,0.096566524,0.107296137
DNA,0,0.013888889,0.041666667,0,0.041666667,0.083333333,0.166666667,0,0,0.013888889,0.097222222,0.138888889,0.638888889,72,0.041666667,0.125,0.055555556,0.152777778
DNA,0.014376997,0.014376997,0.052715655,0.033546326,0.052715655,0.039936102,0.130990415,0.004792332,0.004792332,0.020766773,0.143769968,0.020766773,0.325878594,626,0.055910543,0.060702875,0.073482428,0.051118211
DNA,0.020706456,0.004872107,0.042630938,0.054811206,0.042630938,0.013398295,0.103532278,0.009744214,0.001218027,0.015834348,0.148599269,0.019488429,0.321559074,821,0.074299635,0.029232643,0.069427527,0.046285018
DNA,0.025641026,0,0.051282051,0.057692308,0.051282051,0.012820513,0.16025641,0.006410256,0,0.012820513,0.108974359,0.044871795,0.423076923,156,0.102564103,0.044871795,0.064102564,0.083333333
DNA,0.049586777,0.01322314,0.105785124,0.125619835,0.105785124,0.038016529,0.247933884,0.021487603,0.004958678,0.051239669,0.099173554,0.036363636,0.239669421,605,0.102479339,0.067768595,0.052892562,0.05785124
DNA,0,0.229591837,0.265306122,0,0.265306122,0.484693878,0.556122449,0,0.086734694,0.102040816,0.020408163,0,0.107142857,196,0.035714286,0.295918367,0.020408163,0.030612245
DNA,0.001972387,0.044378698,0.061143984,0.004930966,0.061143984,0.126232742,0.177514793,0.000986193,0.016765286,0.023668639,0.126232742,0.051282051,0.399408284,1014,0.032544379,0.124260355,0.061143984,0.073964497
DNA,0.028571429,0.038095238,0.095238095,0.066666667,0.095238095,0.095238095,0.2,0.00952381,0.019047619,0.038095238,0.114285714,0.085714286,0.533333333,105,0.066666667,0.076190476,0.047619048,0.133333333
DNA,0.005602241,0.009337068,0.030812325,0.022408964,0.030812325,0.030812325,0.101774043,0.000933707,0.003734827,0.011204482,0.092436975,0.055088702,0.39869281,1071,0.051353875,0.066293184,0.056956116,0.075630252
DNA,0,0,0.024242424,0.024242424,0.024242424,0.012121212,0.103030303,0,0,0.006060606,0.096969697,0.078787879,0.412121212,165,0.084848485,0.036363636,0.054545455,0.084848485
DNA,0,0.0390625,0.0625,0.0390625,0.0625,0.140625,0.2421875,0,0.0078125,0.015625,0.046875,0.046875,0.1796875,128,0.0703125,0.109375,0.03125,0.0390625
DNA,0,0.0390625,0.0625,0.0390625,0.0625,0.140625,0.2421875,0,0.0078125,0.015625,0.046875,0.046875,0.1796875,128,0.0703125,0.109375,0.03125,0.0390625
DNA,0.030612245,0.010204082,0.06122449,0.112244898,0.06122449,0.030612245,0.178571429,0.005102041,0.005102041,0.015306122,0.030612245,0.117346939,0.454081633,196,0.107142857,0.051020408,0.030612245,0.112244898
DNA,0.010057471,0.012931034,0.027298851,0.025862069,0.027298851,0.034482759,0.07183908,0.001436782,0.007183908,0.011494253,0.094827586,0.030172414,0.277298851,696,0.041666667,0.038793103,0.050287356,0.048850575
DNA,0.006711409,0.020134228,0.040268456,0.013422819,0.040268456,0.077181208,0.157718121,0.003355705,0.003355705,0.013422819,0.124161074,0.036912752,0.39261745,298,0.046979866,0.097315436,0.070469799,0.070469799
DNA,0.003913894,0.009784736,0.037181996,0.01369863,0.037181996,0.050880626,0.119373777,0.001956947,0,0.01369863,0.156555773,0.060665362,0.499021526,511,0.052837573,0.084148728,0.082191781,0.088062622
DNA,0.015748031,0,0.05511811,0.031496063,0.05511811,0,0.125984252,0.007874016,0,0.023622047,0.015748031,0.062992126,0.503937008,127,0.05511811,0.086614173,0.039370079,0.133858268
